Cliente;Sito;Citta;DALLE_M;ALLE_M;DALLE_P;ALLE_P;0;1;2;3;4;5;Indirizzo_sito
A,F,M, FARMACIE COMUNALI FERRARA SRL;sede op, FARMACIA PORTA MARE;FERRARA;;;;;x;x;x;x;x;x;VIA PORTA MARE , FERRARA 44121 , FE
A,M,P, RECYCLING SRL SOCIO UNICO;sede op,;FERRARA;;;;;x;x;x;x;x;x;VIA G, FINATI 11 , FERRARA 44124 , FE
A,S,D, FITNESS CLUB;sede op, LE VALLETTE DI OSTELLATO;OSTELLATO;;;;;x;x;x;x;x;;PISCINA LE VALLETTE, ARGINE MEZZANO , OSTELLATO 44020 , FE
A,S,D, GRUPPO SPORTIVO TERAPEUTICO ANFFAS;sede legale;FERRARA;;;;;x;x;x;x;x;;VIA DELLA CANAPA 10/12 , FERRARA 44122 , FE
ACEDI PLAST SRL;sede op, TOMMASO ALBINONI;FERRARA;;;;;x;x;x;x;x;;VIA TOMMASO ALBINONI 15 , FERRARA 44124 , FE
AGENZIA METROQUADRO;Sede legale;FERRARA;;;;;x;x;x;x;x;;VIA CAIROLI 18 , FERRARA 44121 , FE
AGRI BOGGIAN;Sede;GUALDO DI VOGHIERA;;;;;x;x;x;x;x;;VIA S,RAFFAELLO 5 , GUALDO DI VOGHIERA 44019 , FE
AGRICOLA 2000 S,S, DI COLOMBARINI LUCA & C, S,S,;sede op, VIA SANTE CECILIA;MASI TORELLO;;;;;x;x;x;x;x;;VIA SANTA CECILIA , MASI TORELLO 44020 , FE
AGRIMACCHINE POLESANA S,R,L,;SEDE LEGALE;BOSARO;;;;;x;x;x;x;x;;VIA PRIMO MAGGIO, 231 , BOSARO 45033 , RO
AGROFE SRL;sede op, LOTTO B VIA RAVENNA 341;FOSSANOVA SAN MARCO;;;;;x;x;x;x;x;;VIA RAVENNA 341 , FOSSANOVA SAN MARCO 44124 , FE
AGROFE SRL;Sede op, MAGAZZINO M - MASI TORELLO;MASI TORELLO;;;;;x;x;x;x;x;;VIA DELL\'INDUSTRIA 28 , MASI TORELLO 44020 , FE
AL CANTINON DI CAVALIERI FIORELLA & c, SNC;sede op, RISTORANTE;COMACCHIO;;;;;x;x;x;;x;x;VIA LUDOVICO MURATORI snc , COMACCHIO 44022 , FE
AL PORTO DI MARE DI SABBIERI ROBERTO;Sede;MIGLIARO;;;;;x;x;;x;x;x;VIA ARIOSTO 93 , MIGLIARO 44027 , FE
ALBERGHINI LORENZO;Sede;FERRARA;;;;;x;x;x;x;x;x;VIA MARTIRI DEL LAVORO 19 -SCALA C , FERRARA 44122 , FE
ALBERGO ANNUNZIATA SRL;sede op, ALBERGO PRISCIANI;FERRARA;;;;;x;x;x;x;x;;VIA GARIBALDI 70 , FERRARA 44121 , FE
ALBERGO ANNUNZIATA SRL;sede legale ALBERGO ANNUNZIATA;FERRARA;;;;;x;x;x;x;x;;PIAZZA REPUBBLICA 5 , FERRARA 44121 , FE
ALBERTI CARLO ALBERTO;sede legale;MIGLIARO;;;;;x;x;x;x;x;x;VIA L,ARIOSTO 61 , MIGLIARO 44020 , FE
ALFA OMEGA;sede legale;COPPARO;;;;;x;x;x;x;x;;VIA LEONARDO DA VINCI, 57/A , COPPARO 44034 , FE
