SitoTerritoriale;Ordine_sito;ViaggioAR
BOLOGNA;1;1,5
MODENA;2;2,5
ALTO FERRARESE 2 - CENTO;3;1
ALTO FERRARESE 3 - POGGIO RENATICO;4;0,67
ALTO FERRARESE - 4 TERRE DEL RENO/VIGARANO;5;0,67
ALTO FERRARESE 1 - BONDENO;6;1
VENETO ;7;1,5
PETROLCHIMICO ;8;0,5
PMI 2;9;0,5
CITTA\' 4;10;0,5
CITTA\' 5;11;0,5
PMI 1;12;0,5
FERRARA ;13;0,5
CITTA\' 1;14;0,5
CITTA\' 3;15;0,5
CITTA\' 2;16;0,5
ZONA ARGENTA 2 -  VOGHIERA/MASI;17;0,67
ZONA ARGENTA 1 -  ARGENTA/PORTOMAGGIORE;18;1,33
MEDIO FERRARESE 3 - OSTELLATO/FISCAGLIA;19;1,5
MEDIO FERRARESE 2 - TRESIGNANA;20;1
MEDIO FERRARESE 1 - COPPARO;21;1
BASSO FERRARESE 3 - BERRA/RO;22;1,5
BASSO FERRARESE 2 - GORO/MESOLA;23;2
MEDIO FERRARESE 4 - CODIGORO/LAGOSANTO;24;1,5
BASSO FERRARESE 1 - COMACCHIO;25;1,5
RAVENNA;26;2
Non_definito;27;1,05115
